anio,flujo,cap_cod,capitulo,valor_usd
2010,Exportacion,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",171748282.0
2010,Exportacion,07,Vegetables and certain roots and tubers; edible,112293396.0
2010,Exportacion,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1506519869.0
2010,Exportacion,09,"Coffee, tea, mate and spices",269093324.0
2010,Exportacion,10,Cereals,928887.0
2010,Exportacion,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",13933004.0
2010,Exportacion,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",32295401.0
2010,Exportacion,13,"Lac; gums, resins and other vegetable saps and extracts",1971088.0
2010,Exportacion,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,156362.0
2010,Exportacion,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",146992574.0
2010,Exportacion,01,Animals; live,4829302.0
2010,Exportacion,02,Meat and edible meat offal,50436978.0
2010,Exportacion,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",81034136.0
2010,Exportacion,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",80972855.0
2010,Exportacion,05,Animal originated products; not elsewhere specified or included,3051520.0
2010,Exportacion,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",38406068.0
2010,Exportacion,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",76988531.0
2010,Exportacion,20,"Preparations of vegetables, fruit, nuts or other parts of plants",199122432.0
2010,Exportacion,21,Miscellaneous edible preparations,350295849.0
2010,Exportacion,22,"Beverages, spirits and vinegar",52676731.0
2010,Exportacion,23,"Food industries, residues and wastes thereof; prepared animal fodder",30498902.0
2010,Exportacion,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",1598003.0
2010,Exportacion,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25765895.0
2010,Exportacion,26,"Ores, slag and ash",13364.0
2010,Exportacion,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",50992597.0
2010,Exportacion,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",8645011.0
2010,Exportacion,17,Sugars and sugar confectionery,98086219.0
2010,Exportacion,18,Cocoa and cocoa preparations,9688442.0
2010,Exportacion,29,Organic chemicals,4910449.0
2010,Exportacion,30,Pharmaceutical products,300752237.0
2010,Exportacion,31,Fertilizers,24589344.0
2010,Exportacion,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",48970148.0
2010,Exportacion,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",12128918.0
2010,Exportacion,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",39845388.0
2010,Exportacion,35,Albuminoidal substances; modified starches; glues; enzymes,15982486.0
2010,Exportacion,37,Photographic or cinematographic goods,379175.0
2010,Exportacion,38,Chemical products n.e.c.,112300334.0
2010,Exportacion,39,Plastics and articles thereof,231492355.0
2010,Exportacion,40,Rubber and articles thereof,211691627.0
2010,Exportacion,41,Raw hides and skins (other than furskins) and leather,22358116.0
