anio,socios,hhi,hhi_norm,top1_pc,top4_pc,top10_pc
2010,148.0,0.1602,0.1545,37.4,54.0,74.8
2011,145.0,0.1665,0.1607,38.3,55.5,75.7
2012,148.0,0.1671,0.1615,38.3,55.8,75.6
2013,159.0,0.1671,0.1618,38.3,56.2,76.0
2014,157.0,0.1657,0.1604,38.3,54.2,74.7
2015,150.0,0.1851,0.1796,40.8,57.5,78.3
2016,149.0,0.1878,0.1823,41.0,57.8,79.6
2017,149.0,0.1871,0.1816,40.9,58.3,79.3
2018,152.0,0.1885,0.1831,41.1,58.3,78.5
2019,150.0,0.1988,0.1934,42.3,60.0,79.4
2020,145.0,0.2084,0.2029,43.5,61.6,80.1
2021,149.0,0.2094,0.2041,43.7,61.0,79.7
2022,156.0,0.2105,0.2054,43.8,62.0,80.1
2023,162.0,0.2309,0.2261,46.1,64.0,81.5
2024,152.0,0.248,0.243,47.9,66.7,82.6
